1,Unidades de Investigación – Estados
2,Unidades de Investigación – Tipos
3,Producto – Tipologías
4,Producto – Tipos
5,Artículo – Tipos
6,Patente – Estados
7,Ciclo – Tipos
8,Petición – Estados
9,Obra -Tipos
10,Áreas y esp. de conocimiento
11,Artículos de investigación – Categorías
12,Libros resultados de investigación – Categorías
13,Capítulo de Libro – Categorías
14,Patente – Tipos
15,Patente – Categorías
16,Variedad Vegetal – Categorías
17,Nueva Raza Animal – Categorías
18,Poblaciones mejoradas de razas pecuarias – Categorías
19,Obras o productos de investigación-creación en Artes Arquitectura y Diseño – Categorías
20,Nota Científica – Categorías
21,Unidades de Investigación- Documentos
22,Artículo – Documentos
23,Libro – Documentos
24,Capítulo de Libro – Documentos
25,Patente – Documentos
26,Variedad Vegetal – Documentos
27,Nueva Raza Animal – Documentos
28,Poblaciones mejoradas de razas pecuarias – Documentos
29,Obras o productos de investigación-creación en Artes Arquitectura y Diseño – Documentos
30,Nota Cienifica – Documentos
31,Participante – Tipos
32,Diseño Industrial – Categorías
33,Esquema de circuito integrado – Categorías
34,Software – Categorías
35,Planta piloto – Categorías
36,Prototipo industrial – Categorías
37,Signos distintivos – Categorías
38,Productos nutraceúticos – Categorías
39,Colección científica – Categorías
40,Nuevo registro científico – Categorías
41,Planta piloto y Prototipo industrial – Tipos
42,Diseño Industrial – Documentos
43,Esquema de circuito integrado – Documentos
44,Software – Documentos
45,Planta piloto – Documentos
46,Prototipo industrial – Documentos
47,Signos distintivos – Documentos
48,Productos nutraceúticos – Documentos
49,Colección científica – Documentos
50,Nuevo registro científico – Documentos
51,Eventos – Tipos
52,Dirección de Tesis y Trabajo de Grado – Tipos
